run,result
saved_models/a2c_soccer_actions_env_1_0,0.015839930196289563,1.000100010001
saved_models/a2c_soccer_actions_env_1_1,0.01491426290303151,1.0
saved_models/a2c_soccer_actions_env_1_2,0.01614101019697964,1.0
saved_models/a2c_soccer_actions_env_1_3,0.015936878828573888,1.0005002501250626
saved_models/a2c_soccer_actions_env_1_4,0.016867252826328602,1.0029084344599337
saved_models/a2c_soccer_actions_env_1_5,0.014991853303791127,1.0232272587741738
saved_models/a2c_soccer_actions_env_1_6,0.01575913256861514,1.002707309736288
saved_models/a2c_soccer_actions_env_1_7,0.016641407754118293,1.0002000400080016
saved_models/a2c_soccer_actions_env_1_8,0.015169004880059796,1.005126143330988
saved_models/a2c_soccer_actions_env_1_9,0.015537503306410613,1.0004001600640255
saved_models/ddpg_soccer_actions_env_1_0,0.016080413313792733,1.0
saved_models/ddpg_soccer_actions_env_1_1,0.013726585812091968,2.1092827004219408
saved_models/ddpg_soccer_actions_env_1_2,0.016765934716285725,1.9663584497344089
saved_models/ddpg_soccer_actions_env_1_3,0.027229105378724108,3.047880451357121
saved_models/ddpg_soccer_actions_env_1_4,0.01580865683085182,1.0
saved_models/ddpg_soccer_actions_env_1_5,0.013181306273432714,1.567754077791719
saved_models/ddpg_soccer_actions_env_1_6,0.011935505739508646,1.875422138836773
saved_models/ddpg_soccer_actions_env_1_7,0.015737638122007014,1.9928258270227182
saved_models/ddpg_soccer_actions_env_1_8,0.014009699848774348,1.9619383951343927
saved_models/ddpg_soccer_actions_env_1_9,0.015405154728119501,1.744287458573173
saved_models/ddpg_soccer_actions_env_2_0,0.009198784886608382,1.4114326040931546
saved_models/ddpg_soccer_actions_env_2_1,0.0,1.7995321216483715
saved_models/ddpg_soccer_actions_env_2_2,0.01870509240088592,2.4366162847391517
saved_models/ddpg_soccer_actions_env_2_3,0.011147808388985702,1.1977482333213558
saved_models/ddpg_soccer_actions_env_2_4,0.011933010933314338,1.0
saved_models/ddpg_soccer_actions_env_2_5,0.015598043776468822,1.0
saved_models/ddpg_soccer_actions_env_2_6,0.008813285882176286,1.4836795252225519
saved_models/ddpg_soccer_actions_env_2_7,0.011557315661894968,1.5602372034956304
saved_models/ddpg_soccer_actions_env_2_8,0.017562126928568976,2.110595187842972
saved_models/ddpg_soccer_actions_env_2_9,0.01290276524011233,1.7374456993918332
saved_models/ddpg_soccer_actions_env_3_0,0.002291275386988032,35.555160142348754
saved_models/ddpg_soccer_actions_env_3_1,0.015785252262603404,1.0
saved_models/ddpg_soccer_actions_env_3_2,0.014388825001902554,2.4591736350221347
saved_models/ddpg_soccer_actions_env_3_3,0.0120747716959477,2.526914329037149
saved_models/ddpg_soccer_actions_env_3_4,0.012766281037021206,2.4025474645517906
saved_models/ddpg_soccer_actions_env_3_5,0.01160778854200107,2.675675675675676
saved_models/ddpg_soccer_actions_env_3_6,0.00471449446337501,48.16504854368932
saved_models/ddpg_soccer_actions_env_3_7,0.012676563049183968,1.5651901706057285
saved_models/ddpg_soccer_actions_env_3_8,0.01021348210619349,2.58234075608493
saved_models/ddpg_soccer_actions_env_3_9,0.011106571686015166,1.5351550506601166
saved_models/ppo_soccer_actions_env_1_0,0.013955799131523911,1.0450412791305257
saved_models/ppo_soccer_actions_env_1_1,0.012584230872657979,1.0760787689658884
saved_models/ppo_soccer_actions_env_1_2,0.01337807815508091,1.0657572205051689
saved_models/ppo_soccer_actions_env_1_3,0.01372973747647392,1.052299273913501
saved_models/ppo_soccer_actions_env_1_4,0.01390982673853893,1.0570824524312896
saved_models/ppo_soccer_actions_env_1_5,0.013977554027427433,1.0566356720202874
saved_models/ppo_soccer_actions_env_1_6,0.012991043379861093,1.0610079575596818
saved_models/ppo_soccer_actions_env_1_7,0.01338984994875732,1.051745898190997
saved_models/ppo_soccer_actions_env_1_8,0.013041964067010024,1.0458063166701528
saved_models/ppo_soccer_actions_env_1_9,0.013412831764052984,1.050309841403214
saved_models/sac_soccer_actions_env_1_0,0.006592507054448358,1.375515818431912
saved_models/sac_soccer_actions_env_1_1,0.0064340723235512785,1.3890818169190164
saved_models/sac_soccer_actions_env_1_2,0.007854999597973965,1.3618412093149939
saved_models/sac_soccer_actions_env_1_3,0.00761993559816181,1.3903490474203866
saved_models/sac_soccer_actions_env_1_4,0.007093402733585874,1.362769146906514
saved_models/sac_soccer_actions_env_1_5,0.005827980328453452,1.4667742408684172
saved_models/sac_soccer_actions_env_1_6,0.005680691999117646,1.4725290911769038
saved_models/sac_soccer_actions_env_1_7,0.006687928246030298,1.3806433798149937
saved_models/sac_soccer_actions_env_1_8,0.006952182069544811,1.353546291283162
